luminosity_distance_Mpc	dec	ra	theta_jn	psi	phase	spin1	spin2	geocent_time	ms	mr	mass_1_source	mass_2_source	lambda1	lambda2	H1	L1	V1	K1	network_matched_filter_snr
337.3370270678263	0.8423407880286422	1.3194107372627006	2.488312774591471	3.0043641797818728	3.295393416211204	0.0013976230994120179	0.00757311014488257	1347357239.4800167	1.3120321681314802	1.34791037621574	1.34791037621574	1.3120321681314802	314.05910834985525	369.07982246956664	False	False	True	True	3.145091497049795
463.4534813525108	-0.7121781297785993	5.93018261756833	0.6453984117728553	0.7649770404783581	1.1869213960815275	0.002916914744814096	-0.0013116877613988049	1351528289.8887122	1.3766525633176023	1.3374822336900827	1.3766525633176023	1.3374822336900827	276.32006367715263	330.42465000768885	False	False	True	True	2.3965300319991907
317.086368518599	-0.9643499066130412	0.8347790992155139	1.7665556632094814	1.7505640070471649	4.727256594396096	0.018679431391320635	0.007126285502376418	1327466836.4066703	1.2820074952201284	1.3105151252080982	1.3105151252080982	1.2820074952201284	371.7009916742618	424.7807455718165	True	False	False	True	2.6705533712996323
199.89518021202048	0.9059588360665287	2.4123227880778275	2.120515027936643	0.898156708815063	2.909485328651268	-0.013721987841941468	0.0018835558265566576	1329696434.2860565	1.2463240370286541	1.3313996326177147	1.3313996326177147	1.2463240370286541	339.8404775009446	506.2267321527054	False	True	True	True	6.5330419878005355
357.45082444231593	0.5263355040933647	6.226163563553404	1.5061376331488048	1.1018113212803422	1.4203511130826048	0.024792267481514155	0.006279394011471754	1344590247.3767142	1.3807679952648209	1.34790397740976	1.3807679952648209	1.34790397740976	271.8347910285893	314.068315248048	False	True	False	False	4.7775633134640545
479.0221536663038	-1.042336073128485	0.6875962304921771	1.6517459135231014	1.308828509557211	3.254212630187195	-0.0014006143217928514	0.007844597754317487	1328903444.2980154	1.3735895527313104	1.3587859678600738	1.3735895527313104	1.3587859678600738	280.14776459753574	299.6859577683543	True	False	False	True	1.455672835139059
283.38538840395694	-0.9725742035506258	0.24389115363886524	2.1124158673694495	2.9429620471342255	1.4864619125144705	-0.009692580673997689	0.010091251764258695	1327279917.9879034	1.4183368530955969	1.5699433194828047	1.5699433194828047	1.4183368530955969	117.43369064178623	229.40995423962212	False	True	True	False	4.1275069490114715
439.1912175295526	-0.1608039494903267	2.3519919474335347	2.8829533267119674	2.2423523192023374	3.7145168997066884	0.002797528932592598	-0.014504027942463252	1338785183.5311909	1.203405868472863	1.3434717364927953	1.3434717364927953	1.203405868472863	320.72091551601653	621.2972790146197	False	True	False	True	3.7089172159401786
154.80359503284166	-0.3698965558239845	2.52687891970979	1.7230472261255185	0.3578842757797731	5.767800339297764	0.015863907184232095	0.013408771718027427	1332750674.1705842	1.386816475522251	1.3296626937902474	1.386816475522251	1.3296626937902474	265.5804727472712	342.25204511943576	True	False	True	False	5.352183576104018
464.4539047799532	-0.692603920878386	3.4780171395330104	1.7053662806315009	1.7549039165220144	3.2144523072903244	-0.025113086719962322	0.009168668989344323	1348716789.937875	1.250935960542042	1.2998594468664308	1.2998594468664308	1.250935960542042	389.55085557287595	494.90967589244786	False	True	False	False	3.0487283400974863
400.67094901115337	0.39773277799114454	5.342827601103531	0.44498547477179473	1.7141040214889742	2.010717091832023	-0.025012052901562082	-0.007283391690361841	1351544868.875665	1.4163779642408103	1.3422924643835217	1.4163779642408103	1.3422924643835217	232.1708659121814	322.5889643363526	False	False	True	False	4.2158101262352
476.87401201935	-0.6606269140751462	5.167594424151959	0.9221817370737074	0.4195042650861116	5.299478189595065	0.016103574703033394	0.003986901304847142	1347681694.7459402	1.4068378064529743	1.3728627940403972	1.4068378064529743	1.3728627940403972	244.00939349365996	281.1073815214846	True	True	False	False	2.9645883625727922
451.42174402246496	-0.8710804651679488	1.7412219407472493	2.6308703361797887	2.668118834608278	5.674901338020361	-0.021944806065544213	-0.016672951739803932	1349018839.738572	1.1740309440941739	1.3407072830873288	1.3407072830873288	1.1740309440941739	325.14974012638453	716.2508902925794	False	True	False	True	0.8850165623778268
467.2926007298342	-0.44707929716590095	4.0175833320159695	1.0854341467476876	2.3204842777899044	0.6702183276120189	0.006296569871335048	-0.0018788954757871638	1336677250.7207174	1.219563427539167	1.3365160548385997	1.3365160548385997	1.219563427539167	331.9931986336905	575.4902420710873	True	False	True	True	3.756606801627645
410.92498030235186	0.690768445483227	1.803736648814176	0.38555980517321603	0.3862877471451218	6.174404935615536	-0.001868522622686792	0.006753346262189347	1351588173.934421	1.2364169781334045	1.3679618960519666	1.3679618960519666	1.2364169781334045	287.8079444618533	527.8020643005647	False	False	False	False	0.0
485.5901009335151	0.5443898970586991	5.650500120116049	2.741430430042185	1.6653388191502738	0.38437106768732826	-0.00280054126303476	-0.00011361072089136637	1355548978.0698755	1.3290383709060112	1.3646224910214684	1.3646224910214684	1.3290383709060112	292.29857164172455	343.0954840717551	False	True	True	False	2.926642170875852
321.94010859396076	-0.49933831724738487	2.3357869646645018	1.945613635841961	2.656452768015707	5.058093714747012	-0.035236030209299905	0.019555139604098517	1348776256.308206	1.3030710407248542	1.4653537696557801	1.4653537696557801	1.3030710407248542	183.26888090752564	384.0225589606887	False	False	False	False	0.0
