mej_dyn,mej_wind,phi,theta,m1,m2,q
0.01888888888888889,0.027777777777777776,10.0,41.40962210927086,1.0,1.0,1.0
0.01888888888888889,0.027777777777777776,30.0,41.40962210927086,1.0,1.0,1.0
0.01888888888888889,0.027777777777777776,45.0,41.40962210927086,1.0,1.0,1.0
0.01888888888888889,0.027777777777777776,60.0,41.40962210927086,1.0,1.0,1.0
0.01888888888888889,0.027777777777777776,75.0,41.40962210927086,1.0,1.0,1.0
0.01888888888888889,0.027777777777777776,90.0,41.40962210927086,1.0,1.0,1.0
0.01888888888888889,0.027777777777777776,10.0,0.0,1.0,1.0,1.0
0.01888888888888889,0.027777777777777776,30.0,0.0,1.0,1.0,1.0
0.01888888888888889,0.027777777777777776,45.0,0.0,1.0,1.0,1.0
0.01888888888888889,0.027777777777777776,60.0,0.0,1.0,1.0,1.0
0.01888888888888889,0.027777777777777776,75.0,0.0,1.0,1.0,1.0
0.01888888888888889,0.027777777777777776,90.0,0.0,1.0,1.0,1.0
0.01888888888888889,0.03666666666666667,10.0,90.0,1.0,1.0,1.0
0.01888888888888889,0.03666666666666667,30.0,90.0,1.0,1.0,1.0
